employer,employer_rating,sector,industry,employer_founded,employer_revenue,job_title,location,min_salary,max_salary,average_base_salary,estimator
"Jefferson - Center City, Philadelphia, PA",3.6,Healthcare,Health Care Services & Hospitals,1824.0,$1 to $5 billion (USD),Statistical Analyst,"Philadelphia, PA",63000.0,92000.0,76045.0,Glassdoor
The Prospective Group (TPG),4.2,Government & Public Administration,National Agencies,,$5 to $25 million (USD),Statistical Programmer,"Bethesda, MD",71000.0,99000.0,83670.0,Glassdoor
University of Michigan,4.3,Education,Colleges & Universities,1817.0,$5 to $10 billion (USD),Statistician Intermediate,"Ann Arbor, MI",70000.0,91000.0,79688.0,Glassdoor
UST,3.9,Information Technology,Information Technology Support Services,1999.0,Unknown / Non-Applicable,Principal Generative AI Solutions Architect,United States,68000.0,102000.0,85000.0,Employer
Vanguard,3.7,Financial Services,Investment & Asset Management,1975.0,Unknown / Non-Applicable,"Sr Data Analyst, Specialist","Malvern, PA",79000.0,111000.0,93579.0,Glassdoor
Gartner,4.1,Management & Consulting,Business Consulting,1979.0,$1 to $5 billion (USD),Senior Data Analyst - Information Security,"Irving, TX",82000.0,106000.0,94130.0,Employer
Innovative Analytic Solutions,3.6,,,,,Sr. Data Analyst,"Washington, DC",85000.0,103000.0,94060.0,Employer
Buffet.ai,4.9,,,,,AI Engineer - Financial Market Predictions,Remote,,,,
Altenar,4.8,Information Technology,Software Development,2011.0,Unknown / Non-Applicable,Analyst-mathematician,"Malta, MT",74000.0,107000.0,89021.0,Glassdoor
Morgan State University,3.5,Education,Colleges & Universities,1900.0,$25 to $100 million (USD),Director Of Operations (Center for Equitable Artificial Intelligence & Machine Learning Systems),"Baltimore, MD",73000.0,114000.0,91369.0,Glassdoor
"University of California, Davis",4.2,Education,Colleges & Universities,1905.0,$1 to $5 billion (USD),"Postdoc - Agricultural Economics, Occupational Health and Machine Learning","Davis, CA",64000.0,77000.0,70904.0,Employer
Vanguard,3.7,Financial Services,Investment & Asset Management,1975.0,Unknown / Non-Applicable,Sr. AI/ML & Generative AI Architect,"Charlotte, NC",65000.0,101000.0,80776.0,Glassdoor
Zonestra Technologies llc,3.0,,,,,"AI Ops Engineer/Software Engineer (AI, Python, AV experience) :: W2 Role","Moline, IL",76800.0,87936.0,82368.0,Employer
Johns Hopkins University,4.0,Education,Colleges & Universities,1876.0,$1 to $5 billion (USD),Statistical Programmer Analyst,"Baltimore, MD",53000.0,94000.0,73400.0,Employer
QinetiQ US,3.6,Aerospace & Defense,Aerospace & Defense,1956.0,$100 to $500 million (USD),Operations Data Analyst,"Washington, DC",66000.0,94000.0,78373.0,Glassdoor
Ascent Resources,4.2,"Energy, Mining & Utilities",Energy & Utilities,2014.0,Unknown / Non-Applicable,Data Science Advisor,"Oklahoma City, OK",71000.0,117000.0,91409.0,Glassdoor
ConnectiCare,3.7,Insurance,Insurance Carriers,1981.0,$100 to $500 million (USD),Senior Risk Adjustment Data Analyst,"New York, NY",63000.0,110000.0,86500.0,Employer
Citizant,4.4,Information Technology,Information Technology Support Services,1999.0,$25 to $100 million (USD),Jr. AI Program Analyst (100% Remote),"Chantilly, VA",60000.0,90000.0,73412.0,Glassdoor
SciTec,4.0,Aerospace & Defense,Aerospace & Defense,1979.0,Unknown / Non-Applicable,Data Scientist,"Huntsville, AL",153000.0,218000.0,185300.0,Employer
Analytic Partners,3.9,Information Technology,Enterprise Software & Network Solutions,2000.0,Unknown / Non-Applicable,Director of Data Science,"New York, NY",170000.0,220000.0,195000.0,Employer
Stryker Corporation,4.0,Manufacturing,Health Care Products Manufacturing,1941.0,$10+ billion (USD),"Manager, Data Science (Remote)","Portage, MI",127000.0,280000.0,203000.0,Employer
Cybotic System,3.6,,,,Unknown / Non-Applicable,New W2 Contract Job Role: Principal Engineer (AI/ML Expert),"Charlotte, NC",153600.0,192000.0,172800.0,Employer
McKesson,3.7,Healthcare,Health Care Services & Hospitals,1833.0,$10+ billion (USD),"Director, Data Science & Machine Learning",Massachusetts,165000.0,275000.0,219700.0,Employer
Apple,4.2,Information Technology,Computer Hardware Development,1976.0,$10+ billion (USD),Computer Vision and Machine Learning Engineer,"Cupertino, CA",139000.0,257000.0,197700.0,Employer
C3 AI,3.4,Information Technology,Enterprise Software & Network Solutions,2009.0,Unknown / Non-Applicable,Senior Software Engineer - Machine Learning,"Redwood City, CA",160000.0,206000.0,183000.0,Employer
The Hartford,3.6,Insurance,Insurance Carriers,1810.0,$10+ billion (USD),"Director, Claims Data Scientist","Hartford, CT",148000.0,222000.0,185000.0,Employer
IBM,4.1,Information Technology,Information Technology Support Services,1911.0,$10+ billion (USD),Data Scientist-Machine Learning (TS/SCI + Full Scope Poly),"Chantilly, VA",145000.0,219000.0,182000.0,Employer
Moveworks.ai,3.7,Information Technology,Enterprise Software & Network Solutions,2016.0,Unknown / Non-Applicable,Senior Machine Learning Engineer - LLM,"Mountain View, CA",129000.0,257000.0,193000.0,Employer
Geomagical Labs,3.5,Information Technology,Internet & Web Services,,Less than $1 million (USD),Senior Applied Research Scientist - 3D Reconstruction & Deep Learning,"Palo Alto, CA",180000.0,250000.0,215000.0,Employer
Zillow,3.9,Information Technology,Internet & Web Services,2005.0,$1 to $5 billion (USD),Senior Applied Scientist,Remote,156000.0,250000.0,203000.0,Employer
CVS Health,3.1,Healthcare,Health Care Services & Hospitals,1963.0,$10+ billion (USD),Senior Data Scientist - Utilization Management,"Wellesley, MA",136000.0,268000.0,202009.0,Employer
Warner Bros. Discovery,3.6,Media & Communication,Film Production,2003.0,$10+ billion (USD),Staff Machine Learning Engineer,"San Francisco, CA",146000.0,270000.0,208000.0,Employer
"Keysight Technologies, Inc.",4.0,Manufacturing,Electronics Manufacturing,2014.0,Unknown / Non-Applicable,Machine Learning R&D Engineer,"Santa Rosa, CA",150000.0,250000.0,199800.0,Employer
Connect Staffing and Consulting,4.4,Human Resources & Staffing,Staffing & Subcontracting,,Unknown / Non-Applicable,Senior Data Engineer (AI) - Remote,"Blank, MD",160000.0,256000.0,208000.0,Employer
Swish Analytics,5.0,"Arts, Entertainment & Recreation",Gambling,2014.0,Unknown / Non-Applicable,Data Science Manager (MLS),United States,170000.0,210000.0,190000.0,Employer
Ascendis Pharma,2.8,,,,Unknown / Non-Applicable,"Associate Director, Statistical Programming","Palo Alto, CA",180000.0,210000.0,195000.0,Employer
Netflix,4.2,Information Technology,Internet & Web Services,1997.0,$5 to $10 billion (USD),Data Scientist (L5) - Title & Launch Management,"Los Gatos, CA",140000.0,227000.0,178472.0,Glassdoor
Apple,4.2,Information Technology,Computer Hardware Development,1976.0,$10+ billion (USD),"AIML - Sr Data Scientist, AIML Data","Cupertino, CA",139000.0,257000.0,197700.0,Employer
Starbucks,3.6,Restaurants & Food Service,Restaurants & Cafes,1971.0,$10+ billion (USD),"lead manager decision science, Retail Testing Analytics","Seattle, WA",152000.0,237000.0,194200.0,Employer
Match Group,3.5,Information Technology,Internet & Web Services,2015.0,$1 to $5 billion (USD),"Staff Data Scientist, Advanced Analytics and Engineering","San Francisco, CA",185000.0,220000.0,202500.0,Employer
Western Digital,3.6,Information Technology,Computer Hardware Development,1970.0,$10+ billion (USD),"Technologist, Generative AI","San Jose, CA",153000.0,226000.0,185707.0,Glassdoor
"R1 RCM, Inc.",3.5,Healthcare,Health Care Services & Hospitals,2003.0,Unknown / Non-Applicable,Senior Architect - Machine Learning,Remote,172000.0,247000.0,209583.0,Employer
Change.org,2.9,Information Technology,Internet & Web Services,2007.0,$5 to $25 million (USD),Staff Software Engineer - Machine Learning,United States,219000.0,219000.0,219000.0,Employer
Netflix,4.2,Information Technology,Internet & Web Services,1997.0,$5 to $10 billion (USD),Technical Program Manager (L6) - Machine Learning Platform,"Los Gatos, CA",156000.0,231000.0,190060.0,Glassdoor
Amex,4.2,Financial Services,Financial Transaction Processing,1850.0,$10+ billion (USD),Staff Engineer - Generative AI - Technology Research & Development,"Phoenix, AZ",170000.0,255000.0,212500.0,Employer
TikTok,3.4,Information Technology,Internet & Web Services,2016.0,Unknown / Non-Applicable,Software Engineer iOS - TikTok AI Camera - San Jose,"San Jose, CA",145000.0,238000.0,191250.0,Employer
Orum,4.7,Information Technology,Software Development,2018.0,$5 to $25 million (USD),Staff Machine Learning Engineer,United States,200000.0,220000.0,210000.0,Employer
"Advanced Micro Devices, Inc",4.1,Information Technology,Computer Hardware Development,1969.0,$10+ billion (USD),"Sr. Staff Software Development Engineer - AI/ML, drivers, DirectML, C++","San Jose, CA",163000.0,221000.0,189787.0,Glassdoor
Atlassian,4.0,Information Technology,Software Development,2002.0,Unknown / Non-Applicable,Principal Machine Learning System Engineer,"San Francisco, CA",162000.0,210000.0,184551.0,Glassdoor
Yelp,3.5,Information Technology,Internet & Web Services,2004.0,$500 million to $1 billion (USD),Senior Product Manager - Machine Learning (Remote - United States),"Austin, TX",120000.0,260000.0,190000.0,Employer
GE HEALTHCARE,4.2,Manufacturing,Health Care Products Manufacturing,1892.0,$10+ billion (USD),Senior AI Engineer - Foundation Models,"Seattle, WA",171000.0,256000.0,213180.0,Employer
Visa,4.1,Information Technology,Information Technology Support Services,1958.0,$10+ billion (USD),"Director, Data Science & Advanced Analytics","Austin, TX",161000.0,210000.0,185500.0,Employer
Edwards Lifesciences,4.0,Manufacturing,Health Care Products Manufacturing,1958.0,$1 to $5 billion (USD),"Director, Distinguished, Statistical Programming","Irvine, CA",153000.0,219000.0,182916.0,Glassdoor
Snapchat,3.7,Information Technology,Computer Hardware Development,2011.0,Unknown / Non-Applicable,"Senior Data Scientist, 5+ Years of Experience","Los Angeles, CA",156000.0,235000.0,195500.0,Employer
Abbott Laboratories,3.8,Healthcare,Health Care Services & Hospitals,1888.0,$10+ billion (USD),Data Science Manager,"Alameda, CA",126000.0,252000.0,188600.0,Employer
Microsoft,4.3,Information Technology,Computer Hardware Development,1975.0,$10+ billion (USD),"Principal Researcher – High Performance Computing, Machine Learning Systems, Programming Languages, Formal Methods – Microsoft Research","Redmond, WA",134000.0,257000.0,195200.0,Employer
Apple,4.2,Information Technology,Computer Hardware Development,1976.0,$10+ billion (USD),"AIML - Sr. Software Engineer, Machine Learning Platform & Infrastructure","Cupertino, CA",139000.0,257000.0,197700.0,Employer
Nuro,3.8,Information Technology,Computer Hardware Development,2016.0,Unknown / Non-Applicable,Senior ML Engineer,"Mountain View, CA",167000.0,251000.0,209000.0,Employer
New Relic,3.6,Information Technology,Enterprise Software & Network Solutions,2008.0,$100 to $500 million (USD),Principal Product Manager - APM/AI (Remote),"Atlanta, GA",180000.0,225000.0,202500.0,Employer
KLA Corporation,4.1,Manufacturing,Machinery Manufacturing,1976.0,$1 to $5 billion (USD),Artificial Intelligence Engineer,"Milpitas, CA",142000.0,241000.0,191700.0,Employer
IBM,4.1,Information Technology,Information Technology Support Services,1911.0,$10+ billion (USD),Data Requirements Manager,"Chantilly, VA",156000.0,234000.0,195000.0,Employer
Blitz App,2.8,Information Technology,Computer Hardware Development,2018.0,Unknown / Non-Applicable,Games Data Lead,"Los Angeles, CA",170000.0,220000.0,195000.0,Employer
Probably Genetic,4.0,,,,,Machine Learning Lead,"San Francisco, CA",151000.0,232000.0,191500.0,Employer
BlackLine,3.3,Information Technology,Software Development,2001.0,$500 million to $1 billion (USD),"Staff Software Engineer, Artificial Intelligence (AI)","Pleasanton, CA",160000.0,247000.0,203300.0,Employer
Target,3.5,Retail & Wholesale,General Merchandise & Superstores,1962.0,$10+ billion (USD),"Lead Data Scientist - Search and Browse (NLP, LLMs, Information Retrieval)","Minneapolis, MN",127000.0,274000.0,200050.0,Employer
Connect Staffing Professional,5.0,,,,Unknown / Non-Applicable,Senior Data & ML Scientist,"New York, NY",160000.0,250000.0,205000.0,Employer
Oculus,3.9,Information Technology,Internet & Web Services,2004.0,$10+ billion (USD),"Research Scientist, Machine Learning and Eye Tracking","Redmond, WA",177000.0,251000.0,214000.0,Employer
Apple,4.2,Information Technology,Computer Hardware Development,1976.0,$10+ billion (USD),"AIML - Sr Engineering Program Manager, Machine Learning","Seattle, WA",152000.0,268000.0,210300.0,Employer
Uber,3.9,Information Technology,Internet & Web Services,2009.0,$10+ billion (USD),Staff Data Scientist - Membership,"San Francisco, CA",195000.0,195000.0,195000.0,Employer
Uber,3.9,Information Technology,Internet & Web Services,2009.0,$10+ billion (USD),Staff/Senior Staff Applied Scientist - Causal inference & Experimentation,"San Francisco, CA",203000.0,203000.0,203000.0,Employer
Quizlet,4.1,Information Technology,Computer Hardware Development,2006.0,Unknown / Non-Applicable,Sr. Machine Learning Engineer,"New York, NY",150000.0,225000.0,187500.0,Employer
Twinn Intelligence Group,5.0,Information Technology,Enterprise Software & Network Solutions,2017.0,$1 to $5 million (USD),Machine Learning Engineer,"McLean, VA",200000.0,200000.0,200000.0,Employer
Gannett,3.0,Media & Communication,Publishing,1906.0,$1 to $5 billion (USD),"Director, Data Science - B2B Marketing","Indianapolis, IN",120000.0,247000.0,183350.0,Employer
General Atomics and Affiliated Companies,3.7,Aerospace & Defense,Aerospace & Defense,1955.0,Unknown / Non-Applicable,Staff Machine Learning Engineer,"Poway, CA",141000.0,252000.0,196617.0,Employer
Visa,4.1,Information Technology,Information Technology Support Services,1958.0,$10+ billion (USD),Principal ML Engineer,"Bellevue, WA",183000.0,239000.0,210950.0,Employer
Apple,4.2,Information Technology,Computer Hardware Development,1976.0,$10+ billion (USD),"AIML - ML Engineer, MLR","Cupertino, CA",139000.0,257000.0,197700.0,Employer
Alaka`ina Foundation Family of Companies,3.7,Nonprofit & NGO,Civic & Social Services,,Unknown / Non-Applicable,Sr. Data Architect,"Albuquerque, NM",170000.0,195000.0,182500.0,Employer
"The Travelers Companies, Inc.",4.1,Insurance,Insurance Carriers,1853.0,$10+ billion (USD),Manager & Sr. Data Scientist,"Hartford, CT",139000.0,229000.0,183700.0,Employer
Faire,4.4,Retail & Wholesale,Wholesale,2017.0,Unknown / Non-Applicable,Staff Machine Learning Platform Engineer,Remote,183000.0,251000.0,216750.0,Employer
Box,4.4,Information Technology,Software Development,2005.0,$500 million to $1 billion (USD),"Senior Machine Learning Engineer, Shield","Redwood City, CA",193000.0,241000.0,216500.0,Employer
Great Expectations,5.0,Information Technology,Information Technology Support Services,2017.0,Unknown / Non-Applicable,Senior Product Manager,Remote,163000.0,227000.0,195000.0,Employer
PRIMUS GLOBAL SERVICES,3.9,Information Technology,Information Technology Support Services,2002.0,$5 to $25 million (USD),Machine Learning Engineer AI,Remote,189000.0,199000.0,193811.0,Employer
Netflix,4.2,Information Technology,Internet & Web Services,1997.0,$5 to $10 billion (USD),"ML Engineer, Foundation Model Infra (L4/L5), Machine Learning Platform","Los Gatos, CA",150000.0,215000.0,179365.0,Glassdoor
Johnson & Johnson,4.2,Pharmaceutical & Biotechnology,Biotech & Pharmaceuticals,1887.0,$10+ billion (USD),"Associate Director Portfolio Lead, Statistical Programming","Titusville, NJ",135000.0,232000.0,183650.0,Employer
"The Travelers Companies, Inc.",4.1,Insurance,Insurance Carriers,1853.0,$10+ billion (USD),Manager and Senior Data Scientist - Commercial Lines Segmentation Acceleration,"Saint Paul, MN",139000.0,229000.0,183700.0,Employer
General Dynamics Information Technology,3.9,Information Technology,Information Technology Support Services,1996.0,$10+ billion (USD),Data Scientist,Indiana,156000.0,234000.0,195000.0,Employer
Apple,4.2,Information Technology,Computer Hardware Development,1976.0,$10+ billion (USD),Data Scientist Input - Apple Vision Pro,"Cupertino, CA",132000.0,242000.0,186900.0,Employer
Jazz Pharmaceuticals,3.2,Pharmaceutical & Biotechnology,Biotech & Pharmaceuticals,2003.0,$1 to $5 billion (USD),Data Science and Analytics Lead (Remote),"Boston, MA",172000.0,226000.0,198875.0,Employer
TriNet,3.7,Management & Consulting,Business Consulting,1988.0,$1 to $5 billion (USD),Principal Data Scientist,Remote,119000.0,315000.0,217000.0,Employer
CVS Health,3.1,Healthcare,Health Care Services & Hospitals,1963.0,$10+ billion (USD),Principal Machine Learning Engineer,"Hartford, CT",144000.0,288000.0,216300.0,Employer
Hasbro,3.5,Manufacturing,Consumer Product Manufacturing,1923.0,$5 to $10 billion (USD),Sr. AI Engineer,"Raleigh, NC",156000.0,254000.0,204800.0,Employer
Walmart,3.4,Retail & Wholesale,General Merchandise & Superstores,1962.0,$10+ billion (USD),"Principal, Data Scientist (People.AI)","Bellevue, WA",132000.0,264000.0,198000.0,Employer
Apple,4.2,Information Technology,Computer Hardware Development,1976.0,$10+ billion (USD),"AIML - ML SW Performance Engineer, Machine Learning Platform and Infrastructure","Cambridge, MA",159000.0,219000.0,186784.0,Glassdoor
adMarketplace,2.4,Media & Communication,Advertising & Public Relations,2000.0,Unknown / Non-Applicable,Senior Software Engineer - Consumer Tech and Gen AI,"New York, NY",170000.0,220000.0,195000.0,Employer
Angi,3.5,Information Technology,Internet & Web Services,1995.0,$1 to $5 billion (USD),"Director, Data Science & Machine Learning","San Francisco, CA",143000.0,228000.0,180458.0,Glassdoor
Workday,4.2,Information Technology,Enterprise Software & Network Solutions,2005.0,$1 to $5 billion (USD),Sr. Machine Learning Engineer - NLP,"Atlanta, GA",168000.0,252000.0,210000.0,Employer
Veho,2.4,,,,Unknown / Non-Applicable,"Staff Data Scientist, Offering and Pricing",Remote,190000.0,210000.0,200000.0,Employer
adMarketplace,2.4,Media & Communication,Advertising & Public Relations,2000.0,Unknown / Non-Applicable,Senior AI/ML Engineer - Search and Gen AI,"New York, NY",170000.0,220000.0,195000.0,Employer
Apple,4.2,Information Technology,Computer Hardware Development,1976.0,$10+ billion (USD),Hardware Insights Machine Learning Data Scientist,"Cupertino, CA",161000.0,242000.0,201100.0,Employer
Conifer Revenue Cycle Solutions,2.8,Healthcare,Health Care Services & Hospitals,1968.0,$10+ billion (USD),"Senior Director, Data Science (Remote based in the US)","Frisco, TX",167000.0,250000.0,208520.0,Employer
Penguin Random House LLC,3.9,Media & Communication,Publishing,2013.0,Unknown / Non-Applicable,Senior Machine Learning Scientist / Machine Learning Manager (Open to Remote),"New York, NY",125000.0,250000.0,187500.0,Employer
Novartis,3.9,,,,Unknown / Non-Applicable,Principal Data Scientist Biology AI Researcher,"Cambridge, MA",144000.0,216000.0,180000.0,Employer
TextNow,4.0,Telecommunications,Telecommunications Services,2009.0,$25 to $100 million (USD),"Senior Director, Data Science","San Francisco, CA",179000.0,235000.0,205120.0,Glassdoor
Apple,4.2,Information Technology,Computer Hardware Development,1976.0,$10+ billion (USD),Machine Learning Systems Engineer,"Seattle, WA",132000.0,243000.0,187400.0,Employer
Kodiak Robotics,4.4,Information Technology,Computer Hardware Development,2018.0,Unknown / Non-Applicable,"Senior Software Engineer, Machine Learning Infrastructure","Mountain View, CA",164000.0,198000.0,180536.0,Glassdoor
Microsoft,4.3,Information Technology,Computer Hardware Development,1975.0,$10+ billion (USD),Senior Director Artificial Intelligence Silicon Product Management,"Redmond, WA",159000.0,277000.0,217550.0,Employer
Morgan Stanley,3.9,Financial Services,Investment & Asset Management,1935.0,$10+ billion (USD),VP - AIML and Data Science for Enterprise Model Validation and Validation Execution,"New York, NY",106000.0,170000.0,134156.0,Glassdoor
Hasbro,3.5,Manufacturing,Consumer Product Manufacturing,1923.0,$5 to $10 billion (USD),Principal AI Engineer,United States,156000.0,254000.0,204760.0,Employer
owl.co,3.2,Information Technology,Information Technology Support Services,2018.0,Unknown / Non-Applicable,Senior Deep Learning Engineer,"New York, NY",150000.0,230000.0,190000.0,Employer
LendingTree,3.4,Financial Services,Banking & Lending,1996.0,$100 to $500 million (USD),"Sr. Manager, Data Science","Charlotte, NC",200000.0,215000.0,207500.0,Employer
Zero Systems,3.2,,,,,"Head of Product, AI Platform",Remote,180000.0,250000.0,215000.0,Employer
Revolution Medicines,4.0,Pharmaceutical & Biotechnology,Biotech & Pharmaceuticals,,$1 to $5 million (USD),"Associate Director, Statistical Programming","Redwood City, CA",175000.0,210000.0,192500.0,Employer
Meta,3.9,Information Technology,Internet & Web Services,2004.0,$10+ billion (USD),"Production Systems Engineer, Fleet AI Systems","Menlo Park, CA",163000.0,225000.0,194000.0,Employer
Omada Health,3.8,Healthcare,Health Care Services & Hospitals,2011.0,Unknown / Non-Applicable,Senior Machine Learning Engineer,Remote,162000.0,203000.0,182250.0,Employer
Rippling,3.4,Information Technology,Computer Hardware Development,2016.0,$100 to $500 million (USD),Staff Machine Learning Platform Engineer,"New York, NY",159000.0,278000.0,218625.0,Employer
Recruiting From Scratch,4.0,Human Resources & Staffing,Staffing & Subcontracting,2019.0,$1 to $5 million (USD),"Senior Software Engineer, AI","San Mateo, CA",150000.0,220000.0,185000.0,Employer
Synaptics Inc.,3.5,Information Technology,Computer Hardware Development,1986.0,$1 to $5 billion (USD),Sr. Staff Data Scientist,"San Jose, CA",162000.0,254000.0,208050.0,Employer
Microsoft,4.3,Information Technology,Computer Hardware Development,1975.0,$10+ billion (USD),Principal Researcher – Deep Learning – Microsoft Research,"Redmond, WA",134000.0,257000.0,195200.0,Employer
Intuitive Surgical,4.3,Manufacturing,Health Care Products Manufacturing,1995.0,$1 to $5 billion (USD),Sr. Azure AI Platform Engineer,"Sunnyvale, CA",145000.0,245000.0,195000.0,Employer
Apple,4.2,Information Technology,Computer Hardware Development,1976.0,$10+ billion (USD),Machine Learning Engineer,"Cupertino, CA",184000.0,208000.0,196074.0,Employer
Toyota Research Institute,4.2,Management & Consulting,Research & Development,2016.0,Unknown / Non-Applicable,"Machine Learning Researcher, Carbon Neutrality","Los Altos, CA",152000.0,210000.0,180900.0,Employer
Congruent,3.8,,,,Unknown / Non-Applicable,Staff Machine Learning Engineer,"San Francisco, CA",190000.0,225000.0,207500.0,Employer
JPMorgan Chase & Co,4.0,Financial Services,Banking & Lending,1799.0,$10+ billion (USD),Machine Learning Expert Engineer,"Jersey City, NJ",147000.0,260000.0,203625.0,Employer
Unum,3.8,Insurance,Insurance Carriers,1848.0,$10+ billion (USD),Senior C++ Research Engineer: Databases & AI Startup,"San Francisco, CA",161000.0,199000.0,179137.0,Glassdoor
Adobe,4.3,Information Technology,Computer Hardware Development,1982.0,$10+ billion (USD),Senior Machine Learning Engineer,"San Jose, CA",151000.0,284000.0,217550.0,Employer
Talkspace,2.8,Healthcare,Health Care Services & Hospitals,2011.0,$25 to $100 million (USD),Machine Learning Engineer,"New York, NY",170000.0,190000.0,180000.0,Employer
Outreach,2.9,Information Technology,Enterprise Software & Network Solutions,2014.0,Unknown / Non-Applicable,"Staff Applied Scientist, Conversational Intelligence","Seattle, WA",165000.0,225000.0,195000.0,Employer
Rocket Lawyer,4.1,Information Technology,Computer Hardware Development,2008.0,$25 to $100 million (USD),Principal Data Engineering Architect,Arizona,181000.0,235000.0,208000.0,Employer
"The Travelers Companies, Inc.",4.1,Insurance,Insurance Carriers,1853.0,$10+ billion (USD),Senior Director Data Engineering - International Tech,"Hartford, CT",146000.0,240000.0,192800.0,Employer
IBM,4.1,Information Technology,Information Technology Support Services,1911.0,$10+ billion (USD),Technology Software Sales Specialist - Data & AI,"Lexington, KY",167000.0,251000.0,209000.0,Employer
Walmart,3.4,Retail & Wholesale,General Merchandise & Superstores,1962.0,$10+ billion (USD),"Senior Manager, Software Engineering (Machine Learning)","Sunnyvale, CA",143000.0,286000.0,214500.0,Employer
Splunk,3.9,Information Technology,Enterprise Software & Network Solutions,2003.0,$1 to $5 billion (USD),"Principal Applied Scientist, Artificial Intelligence",Remote,163000.0,224000.0,193040.0,Employer
Netflix,4.2,Information Technology,Internet & Web Services,1997.0,$5 to $10 billion (USD),Data Scientist (L5) - Systems Test Enablement,"Los Gatos, CA",158000.0,221000.0,187007.0,Glassdoor
"BI Pharmaceuticals, Inc.",4.2,Pharmaceutical & Biotechnology,Biotech & Pharmaceuticals,1885.0,$10+ billion (USD),Senior Principal Methodology Statistician,"Ridgefield, CT",108000.0,159000.0,130689.0,Glassdoor
Meta,3.9,Information Technology,Internet & Web Services,2004.0,$10+ billion (USD),Data Center Campus Facility Manager,"Kuna, ID",160000.0,231000.0,195500.0,Employer
Connect Staffing Professional,4.0,,,,Unknown / Non-Applicable,Senior ML/AI Data Scientist - 1796491,"New York, NY",160000.0,250000.0,205000.0,Employer
UiPath,4.0,Information Technology,Enterprise Software & Network Solutions,2005.0,Unknown / Non-Applicable,Applied Scientist,"Bellevue, WA",162000.0,244000.0,202975.0,Employer
NVIDIA,4.6,Information Technology,Computer Hardware Development,1993.0,$5 to $10 billion (USD),Senior Data Center Cooling and Infrastructure Engineer,"Santa Clara, CA",144000.0,276000.0,210000.0,Employer
Nextdoor,3.2,Information Technology,Internet & Web Services,2010.0,Unknown / Non-Applicable,Head of Machine Learning,"San Francisco, CA",153000.0,239000.0,191580.0,Glassdoor
Samsung Research America,3.9,Information Technology,Software Development,1988.0,$25 to $100 million (USD),"Staff Research Engineer, Generative AI","Mountain View, CA",173000.0,238000.0,205175.0,Employer
Generate Biomedicines,4.4,,,,Unknown / Non-Applicable,"Senior Director, Machine Learning (ML) Engineering","Somerville, MA",159000.0,220000.0,187275.0,Glassdoor
Firsthand,3.7,Healthcare,Health Care Services & Hospitals,2021.0,Unknown / Non-Applicable,Software Engineer Lead - AI Specialist,"New York, NY",120000.0,240000.0,180000.0,Employer
AKASA,3.1,Information Technology,Enterprise Software & Network Solutions,2018.0,Unknown / Non-Applicable,"Senior Machine Learning Engineer, Systems",United States,175000.0,230000.0,202500.0,Employer
City and County of San Francisco,3.8,Government & Public Administration,State & Regional Agencies,,Unknown / Non-Applicable,Data Architect - ITT - SFO (9976),United States,157000.0,213000.0,185237.0,Employer
Legion Consulting Solutions,3.7,,,,Unknown / Non-Applicable,Data Scientist II-V,"Columbia, MD",125000.0,245000.0,185000.0,Employer
BlackLine,3.3,Information Technology,Software Development,2001.0,$500 million to $1 billion (USD),Staff AI Operations Engineer,"Pleasanton, CA",160000.0,247000.0,203300.0,Employer
JPMorgan Chase & Co,4.0,Financial Services,Banking & Lending,1799.0,$10+ billion (USD),"Executive Director, Home Lending Data Products","Jersey City, NJ",176000.0,260000.0,217875.0,Employer
Pinterest,3.9,Information Technology,Internet & Web Services,2010.0,$100 to $500 million (USD),"Staff Data Scientist, Privacy Enhancing Technologies","San Francisco, CA",161000.0,206000.0,182506.0,Glassdoor
TikTok,3.4,Information Technology,Internet & Web Services,2016.0,Unknown / Non-Applicable,Security Analytics Data Scientist,"San Jose, CA",147000.0,270000.0,208500.0,Employer
Walmart,3.4,Retail & Wholesale,General Merchandise & Superstores,1962.0,$10+ billion (USD),"Staff, Data Scientist - Gen AI and Deep Learning","Sunnyvale, CA",143000.0,286000.0,214500.0,Employer
Microsoft,4.3,Information Technology,Computer Hardware Development,1975.0,$10+ billion (USD),"Principal Researcher - Artificial Intelligence, Human-AI Interaction – Microsoft Research","Redmond, WA",134000.0,257000.0,195200.0,Employer
Worldforce,3.5,,,,,Product Manager for AI,Remote,100000.0,300000.0,200000.0,Employer
CVS Health,3.1,Healthcare,Health Care Services & Hospitals,1963.0,$10+ billion (USD),Lead ML/AI Engineer,"New York, NY",124000.0,247000.0,185786.0,Employer
Netflix,4.2,Information Technology,Internet & Web Services,1997.0,$5 to $10 billion (USD),"Engineering Manager, Consumer Inference, Machine Learning Platform","Los Gatos, CA",159000.0,239000.0,194812.0,Glassdoor
10x Genomics,3.5,Pharmaceutical & Biotechnology,Biotech & Pharmaceuticals,2012.0,Unknown / Non-Applicable,"Senior Software Engineer, AI/ML Platform & Applications","Pleasanton, CA",177000.0,239000.0,208000.0,Employer
Apple,4.2,Information Technology,Computer Hardware Development,1976.0,$10+ billion (USD),Software ML Engineer (MSO),"Cupertino, CA",171000.0,257000.0,213600.0,Employer
